"ID","NAME","EXPDATE","CANCELLED","TRIGGERDATE","INITOREXT","TRIGGERORG","STARTDATE","TRIGGERGROUPSIZE","COMMENTS","TRIGGERTYPE"
3146,"69nm NE Virginia Beach VA",2018-04-23 00:00:01 -04:00,"",2018-04-09 09:47:00,"i","0",2018-04-09 16:59:21 -04:00,5,"","v"
3147,"12nm E Boston MA",2018-05-03 00:00:01 -04:00,"",2018-04-18 13:18:00,"i","34",2018-04-18 14:42:05 -04:00,5,"","v"
3148,"19nm S Martha's Vineyard MA",2018-05-09 00:00:01 -04:00,"",2018-04-24 16:18:00,"i","0",2018-04-24 20:36:45 -04:00,4,"Obs=Observers onboard the R/V Kommandor Iona","v"
3149,"27nm E Boston MA",2018-05-16 00:00:01 -04:00,"",2018-05-01 00:00:00,"i","1",2018-05-02 10:48:12 -04:00,3,"","v"
3150,"21nm NE Boston MA",2018-05-17 00:00:01 -04:00,"",2018-05-02 07:45:00,"i","0",2018-05-02 12:11:46 -04:00,12,"","v"
3151,"8nm E Race Point MA",2018-05-19 00:00:01 -04:00,"",2018-05-04 00:00:00,"i","2",2018-05-05 10:01:40 -04:00,3,"","v"
3152,"2nm S Nantucket MA",2018-07-15 00:00:01 -04:00,"",2018-06-30 00:00:00,"i","4",2018-07-02 13:00:01 -04:00,4,"NLPSC aerial survey","v"
3153,"21nm S Nantucket MA",2018-12-03 00:00:01 -05:00,"extended",2018-11-18 11:30:00,"i","1",2018-11-18 20:30:00 -05:00,4,"","v"
3154,"21nm S Nantucket MA",2018-12-11 00:00:01 -05:00,"",2018-11-26 00:00:00,"e","1",2018-11-27 09:30:00 -05:00,17,"","v"
3155,"Cape Cod Bay",2018-12-26 00:00:01 -05:00,"extended",2018-12-11 01:13:05,"i","2",2018-12-11 17:30:00 -05:00,6,"","v"
3156,"12nm SE Atlantic City NJ",2018-12-29 00:00:01 -05:00,"",2018-12-14 13:06:13,"i","1",2018-12-15 06:57:00 -05:00,4,"","v"
3205,"26nm S Nantucket MA",2018-12-30 00:00:01 -05:00,"extended",2018-12-15 00:00:00,"i","1",2018-12-20 13:22:00 -05:00,33,"Bounds adjusted on DEC 20th based on aps","v"
3157,"26nm S Nantucket MA",2018-12-20 00:00:01 -05:00,"cancelled",2018-12-15 00:00:00,"i","1",2018-12-15 13:38:00 -05:00,33,"Initial DMA, bounds later corrected","v"
3185,"Cape Cod Bay",2019-01-01 00:00:01 -05:00,"ended early sma",2018-12-19 12:09:00,"e","2",2018-12-20 15:30:00 -05:00,7,"Expiration set to beginning of CCB SMA","v"
3206,"26nm S Nantucket MA",2019-01-18 00:00:01 -05:00,"extended",2019-01-02 00:00:00,"e","1",2019-01-03 12:18:00 -05:00,53,"this DMA should not be an extension but a new one should have been initiated","v"
3207,"26nm S Nantucket MA",2019-01-30 00:00:01 -05:00,"extended",2019-01-15 00:00:00,"e","1",2019-01-16 14:25:00 -05:00,100,"","v"
3208,"26nm S Nantucket MA",2019-02-11 00:00:01 -05:00,"extended",2019-01-27 00:00:00,"e","4",2019-01-28 13:30:00 -05:00,20,"","v"
3209,"26nm S Nantucket MA",2019-02-20 00:00:01 -05:00,"extended",2019-02-04 00:00:00,"e","4",2019-02-05 09:31:00 -05:00,11,"first DMA where exp date is the 16th day after trigger date in recent history","v"
3225,"26nm S Nantucket MA",2019-03-05 00:00:01 -05:00,"extended",2019-02-17 12:00:00,"e","4",2019-02-18 11:20:00 -05:00,19,"","v"
3245,"26nm S Nantucket MA",2019-03-17 00:00:01 -05:00,"extended",2019-03-01 16:00:00,"e","1",2019-03-01 16:00:00 -05:00,9,"exp & trigger date corrected 3/12, 9 whales triggered 3/26 - lmc","v"
3265,"26nm S Nantucket MA",2019-03-29 00:00:01 -04:00,"extended",2019-03-13 10:45:00,"e","1",2019-03-14 11:10:00 -04:00,15,"","v"
3266,"26nm S Nantucket MA",2019-04-13 00:00:01 -04:00,"extended",2019-03-28 12:41:41,"e","1",2019-03-28 17:10:34 -04:00,6,"","v"
3305,"26nm S Nantucket MA",2019-04-23 00:00:01 -04:00,"",2019-04-07 14:16:00,"e","4",2019-04-08 16:23:00 -04:00,15,"","v"
3306,"13nm E Boston MA",2019-05-05 00:00:01 -04:00,"",2019-04-19 10:39:00,"i","34",2019-04-19 13:58:40 -04:00,11,"","v"
3315,"73nm SW Martha's Vineyard MA",2019-05-09 00:00:01 -04:00,"extended",2019-04-23 15:31:00,"i","1",2019-04-24 08:53:00 -04:00,3,"AMAPPS","v"
3321,"59nm S Martha's Vineyard MA",2019-05-15 00:00:01 -04:00,"extended",2019-04-29 15:49:00,"i","1",2019-04-29 21:30:00 -04:00,3,"NARWSS","v"
3329,"73nm SW Martha's Vineyard MA",2019-05-23 00:00:01 -04:00,"extended",2019-05-07 09:19:00,"e","1",2019-05-08 12:10:00 -04:00,13,"NARWSS","v"
3331,"59nm S Martha's Vineyard MA",2019-05-24 00:00:01 -04:00,"extended",2019-05-08 13:31:44,"e","1",2019-05-14 09:30:06 -04:00,3,"","v"
3366,"55nm S Nantucket MA",2019-05-31 00:00:01 -04:00,"",2019-05-15 12:00:00,"i","1",2019-05-16 11:37:00 -04:00,4,"","v"
3365,"75nm SE Nantucket MA",2019-06-01 00:00:01 -04:00,"",2019-05-16 08:00:00,"i","1",2019-05-16 11:37:00 -04:00,5,"","v"
3367,"73nm SW Martha's Vineyard MA",2019-06-07 00:00:01 -04:00,"",2019-05-22 10:00:00,"e","1",2019-05-22 17:14:08 -04:00,15,"","v"
3368,"59nm S Martha's Vineyard MA",2019-06-07 00:00:01 -04:00,"",2019-05-22 10:00:00,"e","1",2019-05-22 17:14:08 -04:00,15,"","v"
3369,"55nm S Nantucket MA",2019-06-10 00:00:01 -04:00,"",2019-05-25 09:49:00,"e","4",2019-05-28 10:50:52 -04:00,9,"","v"
3385,"3nm S Nantucket MA",2019-07-31 00:00:01 -04:00,"",2019-07-15 00:00:00,"i","4",2019-07-16 14:19:00 -04:00,3,"","v"
3386,"25nm S Nantucket MA",2019-08-10 00:00:01 -04:00,"extended",2019-07-25 14:38:00,"i","4",2019-07-26 20:34:21 -04:00,7,"","v"
3387,"25nm S Nantucket MA",2019-08-19 00:00:01 -04:00,"extended",2019-08-03 11:03:42,"e","1",2019-08-04 14:37:47 -04:00,10,"","v"
3388,"25nm S Nantucket MA",2019-08-28 00:00:01 -04:00,"",2019-08-12 11:07:55,"e","1",2019-08-12 15:29:02 -04:00,9,"","v"
3389,"22nm SE Nantucket MA",2019-09-15 00:00:01 -04:00,"extended",2019-08-30 11:28:52,"i","1",2019-08-30 14:22:03 -04:00,19,"","v"
3390,"22nm SE Nantucket MA",2019-09-25 00:00:01 -04:00,"",2019-09-09 11:25:37,"e","1",2019-09-09 17:02:59 -04:00,7,"","v"
3391,"42nm SE Nantucket MA",2019-11-25 00:00:01 -05:00,"extended",2019-11-09 13:31:37,"i","1",2019-11-09 17:25:37 -05:00,3,"","v"
3392,"42nm SE Nantucket MA",2019-12-05 00:00:01 -05:00,"",2019-11-19 12:10:04,"e","1",2019-11-19 21:12:51 -05:00,25,"","v"
3393,"28nm S Nantucket MA",2019-12-28 00:00:01 -05:00,"",2019-12-12 14:45:21,"i","1",2019-12-13 07:51:13 -05:00,8,"lmc re-entered this dma 01/31/20 because of missing info in the original","v"
3395,"4nm S Nantucket MA",2020-01-14 00:00:01 -05:00,"",2019-12-29 12:18:31,"i","2",2019-12-30 10:52:38 -05:00,14,"","v"
3396,"31nm S Nantucket MA",2020-02-07 00:00:01 -05:00,"extended",2020-01-22 10:02:45,"i","2",2020-01-22 17:14:44 -05:00,58,"","v"
3397,"31nm S Nantucket MA",2020-02-16 00:00:01 -05:00,"extended",2020-01-31 09:52:41,"e","1",2020-01-31 19:11:32 -05:00,50,"","v"
3398,"31nm S Nantucket MA",2020-02-25 00:00:01 -05:00,"extended",2020-02-09 12:06:53,"e","1",2020-02-09 19:03:12 -05:00,14,"","v"
3399,"31nm S Nantucket MA",2020-03-07 00:00:01 -05:00,"extended",2020-02-20 13:42:38,"e","1",2020-02-20 17:08:10 -05:00,8,"","v"
3400,"47nm SE Nantucket MA",2020-03-19 00:00:01 -05:00,"extended",2020-03-03 12:45:57,"i","1",2020-03-03 20:37:49 -05:00,40,"","v"
3401,"31nm S Nantucket MA",2020-03-19 00:00:01 -05:00,"extended",2020-03-03 17:06:36,"e","1",2020-03-03 20:37:49 -05:00,26,"","v"
3403,"31nm S Nantucket MA",2020-03-28 00:00:01 -04:00,"",2020-03-12 11:43:26,"e","1",2020-03-13 15:52:12 -04:00,13,"","v"
3402,"47nm SE Nantucket MA",2020-03-28 00:00:01 -04:00,"",2020-03-12 11:43:26,"e","1",2020-03-13 15:52:12 -04:00,13,"","v"
3404,"20nm E Boston MA",2020-03-30 00:00:01 -04:00,"cancelled",2020-03-14 17:00:00,"i","0",2020-03-14 17:39:08 -04:00,3,"group size updated","v"
3405,"18nm E Boston MA",2020-03-30 00:00:01 -04:00,"extended",2020-03-14 17:00:00,"i","0",2020-03-14 18:07:26 -04:00,6,"","v"
3406,"18nm E Boston MA",2020-04-08 00:00:01 -04:00,"",2020-03-23 14:29:49,"e","0",2020-03-24 13:34:13 -04:00,4,"","v"
3407,"9nm NE Boston MA",2020-04-25 00:00:01 -04:00,"extended",2020-04-09 08:00:00,"i","0",2020-04-09 13:33:53 -04:00,5,"","v"
3408,"9nm NE Boston MA",2020-05-10 00:00:01 -04:00,"",2020-04-24 14:00:00,"e","0",2020-04-24 14:40:25 -04:00,4,"","v"
3409,"23nm S Nantucket MA",2020-09-16 00:00:01 -04:00,"extended",2020-08-31 12:26:38,"i","1",2020-08-31 18:58:01 -04:00,8,"","v"
3410,"23nm S Nantucket MA",2020-09-30 00:00:01 -04:00,"extended",2020-09-14 12:33:01,"e","1",2020-09-16 14:18:05 -04:00,7,"Calculation delayed for some reason - LMC","v"
3411,"23nm S Nantucket MA",2020-10-10 00:00:01 -04:00,"extended",2020-09-24 12:42:00,"e","4",2020-09-24 19:18:25 -04:00,4,"","v"
3412,"23nm S Nantucket MA",2020-10-20 00:00:01 -04:00,"extended",2020-10-04 10:15:02,"e","4",2020-10-05 10:16:40 -04:00,3,"","v"
3413,"23nm S Nantucket MA",2020-11-04 00:00:01 -04:00,"extended",2020-10-19 10:46:43,"e","2",2020-10-19 19:27:51 -04:00,6,"","v"
3414,"23nm S Nantucket MA",2020-11-16 00:00:01 -05:00,"",2020-10-31 13:14:49,"e","1",2020-11-01 12:23:32 -05:00,4,"","v"
